100,4428.000000
3430,56242.000000
6760,65352.000000
10090,96396.000000
13420,197986.000000
16750,145088.000000
20080,217090.000000
23410,241350.000000
26740,312722.000000
30070,470324.000000
33400,277286.000000
36730,295378.000000
40060,362264.000000
43390,537736.000000
46720,382054.000000
50050,392178.000000
53380,424466.000000
56710,455838.000000
60040,471498.000000
63370,545902.000000
66700,560040.000000
70030,548570.000000
73360,583654.000000
76690,923372.000000
80020,714512.000000
83350,635912.000000
86680,663252.000000
90010,746262.000000
93340,717942.000000
96670,803974.000000
