100,2780.990000
150,4377.000000
200,5736.010000
250,7357.000000
300,8639.980000
350,10090.000000
400,12184.000000
450,12621.990000
500,14028.000000
550,15445.980000
600,16872.000000
650,19411.000000
700,19540.980000
750,21428.000000
800,22489.000000
850,24234.980000
900,28653.010000
950,27721.990000
1000,29154.020000
1050,30531.010000
1100,31962.990000
1150,33340.990000
1200,34568.000000
1250,34990.000000
1300,39712.000000
1350,40605.990000
1400,41472.000000
1450,42080.000000
1500,44337.000000
1550,46389.980000
1600,45734.000000
1650,47202.990000
1700,50321.010000
1750,50756.010000
1800,52643.990000
1850,55097.990000
1900,55447.990000
1950,57643.000000
