100,7759.970000
150,13276.990000
200,21886.980000
250,31335.000000
300,44873.000000
350,59324.990000
400,89302.000000
450,95722.020000
500,116041.980000
550,141213.990000
600,181706.990000
650,197528.980000
700,233391.000000
750,265091.010000
800,305160.980000
850,360373.000000
900,390890.000000
950,455670.020000
1000,501842.010000
1050,554112.000000
1100,623424.000000
1150,683074.010000
1200,733944.000000
1250,811191.980000
1300,884527.980000
1350,946075.010000
1400,1025838.000000
1450,1107241.000000
1500,1222385.000000
1550,1279826.000000
1600,1368574.020000
1650,1468676.010000
1700,1575487.000000
1750,1689987.000000
1800,1811466.040000
1850,1949889.990000
1900,2095707.010000
1950,2263712.990000
