100,8966.000000
3430,35986.000000
6760,22286.000000
10090,43348.000000
13420,42724.000000
16750,75982.000000
20080,84272.000000
23410,120910.000000
26740,127076.000000
30070,136410.000000
33400,145810.000000
36730,134374.000000
40060,133760.000000
43390,147564.000000
46720,156948.000000
50050,168612.000000
53380,179842.000000
56710,189460.000000
60040,202904.000000
63370,214234.000000
66700,265282.000000
70030,259826.000000
73360,247664.000000
76690,279546.000000
80020,268160.000000
83350,300600.000000
86680,291764.000000
90010,326332.000000
93340,315614.000000
96670,325930.000000
