100,2962.000000
150,4382.000000
200,6235.970000
250,9040.990000
300,9293.000000
350,10768.000000
400,12893.000000
450,14956.990000
500,15426.990000
550,17349.010000
600,19211.010000
650,20821.990000
700,22320.990000
750,24308.990000
800,26775.020000
850,27007.000000
900,28769.000000
950,30725.010000
1000,31490.980000
1050,33606.010000
1100,35917.010000
1150,37743.000000
1200,38373.980000
1250,40811.020000
1300,42012.990000
1350,45614.000000
1400,44933.000000
1450,48127.010000
1500,59689.000000
1550,50296.990000
1600,51410.010000
1650,51958.000000
1700,56355.990000
1750,57405.000000
1800,57383.010000
1850,59578.990000
1900,61503.000000
1950,60678.000000
