100,14990.000000
300,64115.000000
500,160550.000000
700,160303.000000
900,269211.000000
1100,232850.000000
1300,315039.000000
1500,407426.000000
1700,511999.000000
1900,619993.000000
2100,415381.000000
2300,492317.000000
2500,575802.000000
2700,655875.000000
2900,759541.000000
3100,844084.000000
3300,933675.000000
3500,1034888.000000
3700,1143365.000000
3900,1284214.000000
4100,1255715.000000
4300,969302.000000
4500,1043091.000000
4700,1137681.000000
4900,1219316.000000
5100,1330298.000000
5300,1425241.000000
5500,1478401.000000
5700,1587086.000000
5900,1672692.000000
6100,2091278.000000
6300,1895902.000000
6500,1998011.000000
6700,2119657.000000
6900,2222322.000000
7100,2335248.000000
7300,2451182.000000
7500,2943436.000000
7700,2698390.000000
7900,2842304.000000
8100,3020406.000000
8300,1806450.000000
8500,1874867.000000
8700,1995593.000000
8900,2021295.000000
9100,2092215.000000
9300,2204124.000000
9500,2259057.000000
9700,2420572.000000
9900,2431428.000000
